train_ds,test_ds,model,det(%),fp(%),f1(%),res_asr(%),drop(pp),n_adv,n_clean
bigvul,bigvul,linevul,95.5,0.0,97.7,1.1,22.3,22,91
bigvul,bigvul,reveal,11.1,0.0,20.0,9.9,1.2,9,91
bigvul,bigvul,ivdetect,50.0,0.0,66.7,3.0,3.0,4,91
bigvul,bigvul,graphcodebert,90.0,0.0,94.7,1.1,9.9,10,91
bigvul,devign,linevul,86.7,1.1,91.8,9.3,60.6,181,362
bigvul,devign,reveal,11.8,2.9,20.0,28.1,3.7,34,68
bigvul,devign,ivdetect,18.5,3.7,29.4,13.9,3.2,27,54
bigvul,devign,graphcodebert,84.3,1.3,90.2,5.8,31.2,115,230
bigvul,primevul,linevul,87.5,0.0,93.3,4.3,29.9,112,224
bigvul,primevul,reveal,0.0,0.0,0.0,1.1,0.0,3,20
bigvul,primevul,ivdetect,75.0,0.0,85.7,0.3,1.0,4,20
bigvul,primevul,graphcodebert,71.2,0.0,83.2,5.7,14.1,66,132
devign,bigvul,linevul,92.1,3.9,92.1,1.8,21.6,114,228
devign,bigvul,reveal,2.2,3.3,4.0,10.9,0.2,46,92
devign,bigvul,ivdetect,30.4,2.2,45.2,4.2,1.9,23,46
devign,bigvul,graphcodebert,88.7,3.8,90.4,1.2,9.8,53,106
devign,devign,linevul,86.1,1.3,91.2,9.7,60.2,36,79
devign,devign,reveal,16.7,1.3,25.0,26.5,5.3,6,79
devign,devign,ivdetect,20.0,1.3,28.6,13.7,3.4,5,79
devign,devign,graphcodebert,78.3,1.3,85.7,8.0,29.0,23,79
devign,primevul,linevul,89.3,2.2,92.2,3.7,30.5,112,224
devign,primevul,reveal,0.0,0.0,0.0,1.1,0.0,3,20
devign,primevul,ivdetect,75.0,0.0,85.7,0.3,1.0,4,20
devign,primevul,graphcodebert,72.7,2.3,82.1,5.4,14.4,66,132
primevul,bigvul,linevul,93.0,4.8,91.8,1.6,21.8,114,228
primevul,bigvul,reveal,4.3,5.4,7.5,10.6,0.5,46,92
primevul,bigvul,ivdetect,30.4,2.2,45.2,4.2,1.9,23,46
primevul,bigvul,graphcodebert,90.6,4.7,90.6,1.0,10.0,53,106
primevul,devign,linevul,87.3,3.0,90.3,8.9,61.0,181,362
primevul,devign,reveal,23.5,4.4,35.6,24.3,7.5,34,68
primevul,devign,ivdetect,22.2,5.6,33.3,13.3,3.8,27,54
primevul,devign,graphcodebert,87.0,3.5,89.7,4.8,32.2,115,230
primevul,primevul,linevul,95.5,4.1,91.3,1.6,32.6,22,74
primevul,primevul,reveal,0.0,4.1,0.0,1.1,0.0,1,74
primevul,primevul,ivdetect,100.0,4.1,40.0,0.0,1.3,1,74
primevul,primevul,graphcodebert,69.2,4.1,72.0,6.1,13.7,13,74
combined,bigvul,linevul,93.0,1.3,95.1,1.6,21.8,114,228
combined,bigvul,reveal,2.2,1.1,4.2,10.9,0.2,46,92
combined,bigvul,ivdetect,30.4,2.2,45.2,4.2,1.9,23,46
combined,bigvul,graphcodebert,88.7,0.9,93.1,1.2,9.8,53,106
combined,devign,linevul,87.8,1.4,92.2,8.5,61.4,181,362
combined,devign,reveal,14.7,0.0,25.6,27.1,4.7,34,68
combined,devign,ivdetect,18.5,0.0,31.2,13.9,3.2,27,54
combined,devign,graphcodebert,85.2,0.9,91.2,5.5,31.5,115,230
combined,primevul,linevul,88.4,0.4,93.4,4.0,30.2,112,224
combined,primevul,reveal,0.0,0.0,0.0,1.1,0.0,3,20
combined,primevul,ivdetect,75.0,0.0,85.7,0.3,1.0,4,20
combined,primevul,graphcodebert,72.7,0.8,83.5,5.4,14.4,66,132
