CWE,N,ASR (%),SMT-OK (%),Expl-OK (%)
CWE-119,1587,12.5,100.0,0.0
CWE-120,27,22.2,100.0,0.0
CWE-122,256,0.0,—,—
CWE-125,673,12.8,100.0,0.0
CWE-129,3,0.0,—,—
CWE-134,275,2.2,100.0,0.0
CWE-17,8,0.0,—,—
CWE-189,52,3.8,100.0,0.0
CWE-19,3,66.7,100.0,0.0
CWE-190,524,4.4,100.0,0.0
CWE-191,248,0.4,100.0,0.0
CWE-20,111,10.8,100.0,0.0
CWE-200,101,12.9,100.0,0.0
CWE-212,4,25.0,100.0,0.0
CWE-22,9,11.1,100.0,0.0
CWE-252,4,0.0,—,—
CWE-254,7,0.0,—,—
CWE-264,42,9.5,100.0,0.0
CWE-284,15,20.0,100.0,0.0
CWE-285,4,50.0,100.0,0.0
CWE-294,4,50.0,100.0,0.0
CWE-295,5,0.0,—,—
CWE-310,4,50.0,100.0,0.0
CWE-320,4,25.0,100.0,0.0
CWE-347,2,0.0,—,—
CWE-362,44,15.9,100.0,0.0
CWE-369,31,3.2,100.0,0.0
CWE-388,8,37.5,100.0,0.0
CWE-399,46,32.6,100.0,0.0
CWE-400,18,22.2,100.0,0.0
CWE-401,17,17.6,100.0,0.0
CWE-415,35,11.4,100.0,0.0
CWE-416,234,13.2,100.0,0.0
CWE-434,4,25.0,100.0,0.0
CWE-444,4,25.0,100.0,0.0
CWE-476,227,16.3,100.0,0.0
CWE-59,8,25.0,100.0,0.0
CWE-61,5,20.0,100.0,0.0
CWE-617,7,42.9,100.0,0.0
CWE-662,4,25.0,100.0,0.0
CWE-665,19,0.0,—,—
CWE-681,2,0.0,—,—
CWE-703,61,18.0,100.0,0.0
CWE-707,4,0.0,—,—
CWE-74,2,0.0,—,—
CWE-754,7,28.6,100.0,0.0
CWE-755,3,66.7,100.0,0.0
CWE-77,4,0.0,—,—
CWE-770,16,25.0,100.0,0.0
CWE-772,36,5.6,100.0,0.0
CWE-78,7,0.0,—,—
CWE-787,240,17.9,100.0,0.0
CWE-79,10,30.0,100.0,0.0
CWE-798,3,33.3,100.0,0.0
CWE-824,8,50.0,100.0,0.0
CWE-834,4,0.0,—,—
CWE-835,20,15.0,100.0,0.0
CWE-909,4,25.0,100.0,0.0
Unknown,1098,42.5,100.0,0.0
